t,xd,yd
0.0,0.09934283060224654,0.30760731329319385
0.05,0.8255248564963611,0.9977696691837631
0.1,1.7549693992132154,2.204093568009097
0.15000000000000002,2.636354588316806,2.154277823129788
0.2,2.936555535217171,3.5451450015233625
0.25,3.542187962243928,4.027433940334444
0.30000000000000004,4.471297944815306,4.515018950226525
0.35000000000000003,4.841651929018621,5.1005282486107575
0.4,5.097684959269644,5.140255165947091
0.45,5.777863075059229,5.9023088567320245
0.5,6.031833806292241,6.382859245951605
0.55,6.4664855305768585,6.932126960549948
0.6000000000000001,7.0252475601957425,6.820609059280053
0.65,6.995374408573362,7.015151788594643
0.7000000000000001,7.4197519225613995,7.295886293223026
0.75,8.025869016099776,7.767150171408136
0.8,8.297405485755126,7.807507546139597
0.8500000000000001,8.913526916091554,7.764564057109605
0.9,9.009704366827242,8.074052821325125
0.9500000000000001,9.240147701759772,8.064741501291051
1.0,10.138336469817533,8.2868343582995
1.05,10.114481636234668,7.975047543042419
1.1,10.47984941797314,8.047504300553832
1.1500000000000001,10.480743130193265,8.00802000400468
1.2000000000000002,10.949102530558847,7.743535343537506
1.25,11.365619968391709,8.022194110170341
1.3,11.392042478420986,7.919381872025661
1.35,11.969669031385719,7.7503969669074175
1.4000000000000001,12.040268203946438,7.563205028289505
1.4500000000000002,12.361567222143165,7.166896676868651
1.5,12.552760540301088,7.185363259959817
1.55,13.290465041192212,7.000736407857563
1.6,13.157943860971283,6.689488371011875
1.6500000000000001,13.183470611332204,6.5798594886776955
1.7000000000000002,13.787634075945654,6.437255797492041
1.75,13.600820791659919,6.460829793456827
1.8,14.102392484649528,5.829146265427771
1.85,13.87810227736005,5.540550318688894
1.9000000000000001,14.207630481296807,5.153816406367737
1.9500000000000002,14.70972400335078,4.450156897490563
2.0,15.009029370303015,4.4800352317027725
2.0500000000000003,15.080551870925996,4.135706504145964
2.1,15.202116116851151,4.2421914704507095
2.15,15.338095234979475,3.3251653628041318
2.2,15.26987078461796,3.026890289864421
2.25,15.583149516171625,2.55204994353151
2.3000000000000003,15.790920483518114,1.9077369950365122
2.35,16.244899069705678,1.9431662767913473
2.4000000000000004,16.247237155134368,1.4293247770354476
2.45,15.965678175139546,0.9932243234829696
2.5,16.51773541490804,0.20147654855207464
2.5500000000000003,16.505523851103526,0.20499501568727302
2.6,16.57189935968861,-0.8216397270328688
2.6500000000000004,16.94961889545234,-0.8959486308648361
2.7,17.1488759861838,-1.0532045511952892
2.75,17.239854089610343,-2.1729065528046023
2.8000000000000003,16.992343290896294,-2.5767154529558183
2.85,17.200736709911116,-2.9369819037053193
2.9000000000000004,17.427164044688908,-3.555530609875253
2.95,17.650427253690843,-4.2670460950037015
3.0,17.450098263090197,-4.449140126389687
3.0500000000000003,17.595755596421714,-5.18483949699397
3.1,17.495043250990904,-5.390515841189731
3.1500000000000004,17.557087057154707,-6.185063984753477
3.2,18.035571014500288,-6.210001760074662
3.25,18.21789186295926,-7.1981041495995575
3.3000000000000003,18.002778623432697,-7.629790691476737
3.35,18.285497956409777,-7.928878180618174
3.4000000000000004,18.221915256867863,-8.866066773386448
3.45,18.082655502584497,-9.104666018547126
3.5,18.343450241626915,-9.420799091193478
